ng_url,name,province
https://astrapa.nt-acs.net/station_1,กรุงเทพมหานคร Live Radio (FM 105 MHz),กรุงเทพมหานคร
https://astrapa.nt-acs.net/station_2,กรุงเทพมหานคร Live Radio (FM 97 MHz),กรุงเทพมหานคร
https://astrapa.nt-acs.net/station_3,กรุงเทพมหานคร Live Radio (FM 95.5 MHz),กรุงเทพมหานคร
https://astrapa.nt-acs.net/station_4,กรุงเทพมหานคร Live Radio (FM 93.5 MHz),กรุงเทพมหานคร
https://astrapa.nt-acs.net/station_5,กรุงเทพมหานคร Live Radio (FM 92.5 MHz),กรุงเทพมหานคร
https://astrapa.nt-acs.net/station_6,กรุงเทพมหานคร Live Radio (FM 88 MHz),กรุงเทพมหานคร
https://astrapa.nt-acs.net/station_7,กรุงเทพมหานคร Live Radio (World Service),กรุงเทพมหานคร
https://astrapa.nt-acs.net/station_8,กรุงเทพมหานคร Live Radio (Education),กรุงเทพมหานคร
https://astrapa.nt-acs.net/station_9,กรุงเทพมหานคร Live Radio (AM 918 KHz),กรุงเทพมหานคร
https://astrapa.nt-acs.net/station_10,กรุงเทพมหานคร Live Radio (AM 891 KHz),กรุงเทพมหานคร
https://astrapa.nt-acs.net/station_11,กรุงเทพมหานคร Live Radio (AM 837 KHz),กรุงเทพมหานคร
https://astrapa.nt-acs.net/station_12,กรุงเทพมหานคร Live Radio (AM 819 KHz),กรุงเทพมหานคร
https://astrapa.nt-acs.net/station_13,กาญจนบุรี (AM 558 KHz),กาญจนบุรี
https://astrapa.nt-acs.net/station_14,กาฬสินธุ์ (FM 93 MHz),กาฬสินธุ์
https://astrapa.nt-acs.net/station_15,กระบี่ (FM98.5 MHz),กระบี่
https://astrapa.nt-acs.net/station_16,กำแพงเพชร (FM 97.75 MHz),กำแพงเพชร
https://astrapa.nt-acs.net/station_17,ขอนแก่น (FM 98.50 MHz) ,ขอนแก่น
https://astrapa.nt-acs.net/station_18,ขอนแก่น (FM 99.50 MHz) ,ขอนแก่น
https://astrapa.nt-acs.net/station_19,จันทบุรี (FM 90.25 MHz),จันทบุรี
https://astrapa.nt-acs.net/station_20,จันทบุรี (AM 1125 KHz),จันทบุรี
https://astrapa.nt-acs.net/station_21,ชลบุรี (FM 99.75 MHz),ชลบุรี
https://astrapa.nt-acs.net/station_22,ชุมพร (FM 100 MHz),ชุมพร
https://astrapa.nt-acs.net/station_23,ขอนแก่น-ชุมแพ (FM 93.25 MHz),ขอนแก่น-ชุมแพ
https://astrapa.nt-acs.net/station_24,ชัยนาท (FM 91.75 MHz),ชัยนาท
https://astrapa.nt-acs.net/station_25,ชัยภูมิ (FM 92.75 MHz),ชัยภูมิ
https://astrapa.nt-acs.net/station_26,เชียงราย (FM 95.75 MHz) ,เชียงราย
https://astrapa.nt-acs.net/station_27,เชียงใหม่ (FM 93.25 MHz),เชียงใหม่
https://astrapa.nt-acs.net/station_28,เชียงใหม (FM 98 MHz),เชียงใหม
https://astrapa.nt-acs.net/station_29,ด่านซ้าย - เลย (FM 90.25 MHz),ด่านซ้าย
https://astrapa.nt-acs.net/station_30,ตราด (FM 92.75 MHz),ตราด
https://astrapa.nt-acs.net/station_31,ตาก (AM 864 KHz),ตาก
https://astrapa.nt-acs.net/station_32,ตาก (FM 102 MHz),ตาก
https://astrapa.nt-acs.net/station_33,แม่สอด - ตาก (FM 103.75 MHz),แม่สอด
